2023-12-11 17:38:40.8716|0|INFO|TeamTasks.Micro.Identity.Commands.Login.LoginCommandHandler|Request for login an account - dsfdsfsddfgggdfgdfgff |url: https://localhost/api/v1/identity/register-user|action: Register|TeamTasks.Micro.Identity.Commands.Login.LoginCommandHandler.Handle
2023-12-11 17:38:53.5028|0|DEBUG|Quartz.Core.QuartzSchedulerThread|Batch acquisition of 0 triggers |url: |action: |Quartz.Core.QuartzSchedulerThread.Run
2023-12-11 17:38:53.5256|0|INFO|TeamTasks.Micro.Identity.Commands.Login.LoginCommandHandler|User logged in - dsfdsfsddfgggdfgdfgff 11.12.2023 11:38:53 |url: https://localhost/api/v1/identity/register-user|action: Register|TeamTasks.Micro.Identity.Commands.Login.LoginCommandHandler.Handle
2023-12-11 17:39:24.2574|0|DEBUG|Quartz.Core.QuartzSchedulerThread|Batch acquisition of 0 triggers |url: |action: |Quartz.Core.QuartzSchedulerThread.Run
2023-12-11 17:40:23.9302|0|DEBUG|Quartz.Core.QuartzSchedulerThread|Batch acquisition of 1 triggers |url: |action: |Quartz.Core.QuartzSchedulerThread.Run
2023-12-11 17:40:24.7059|0|INFO|TeamTasks.Micro.Identity.Commands.Register.RegisterCommandHandler|User authorized - dsfdsfsddfgggdfgdfgff 11.12.2023 11:40:24 |url: https://localhost/api/v1/identity/register-user|action: Register|TeamTasks.Micro.Identity.Commands.Register.RegisterCommandHandler.Handle
2023-12-11 17:40:25.6354|0|DEBUG|Quartz.Simpl.SimpleJobFactory|Producing instance of Job 'DEFAULT.2e920843-fac8-481c-acc5-9cf43be2ce33', class=TeamTasks.Micro.QuartZ.Jobs.DbTask |url: |action: |Quartz.Simpl.SimpleJobFactory.NewJob
2023-12-11 17:40:25.6354|0|DEBUG|Quartz.Core.QuartzSchedulerThread|Batch acquisition of 0 triggers |url: |action: |Quartz.Core.QuartzSchedulerThread.Run
2023-12-11 17:40:25.6354|0|DEBUG|Quartz.Core.JobRunShell|Calling Execute on job DEFAULT.2e920843-fac8-481c-acc5-9cf43be2ce33 |url: |action: |Quartz.Core.JobRunShell.Run
2023-12-11 17:40:25.6481|0|DEBUG|Quartz.Core.JobRunShell|Trigger instruction : NoInstruction |url: |action: |Quartz.Core.JobRunShell.Run
2023-12-11 17:40:50.0920|0|DEBUG|Quartz.Core.QuartzSchedulerThread|Batch acquisition of 0 triggers |url: |action: |Quartz.Core.QuartzSchedulerThread.Run
2023-12-11 17:41:13.6023|0|DEBUG|Quartz.Core.QuartzSchedulerThread|Batch acquisition of 0 triggers |url: |action: |Quartz.Core.QuartzSchedulerThread.Run
2023-12-11 17:41:37.4672|0|DEBUG|Quartz.Core.QuartzSchedulerThread|Batch acquisition of 0 triggers |url: |action: |Quartz.Core.QuartzSchedulerThread.Run
2023-12-11 17:42:06.7665|0|DEBUG|Quartz.Core.QuartzSchedulerThread|Batch acquisition of 1 triggers |url: |action: |Quartz.Core.QuartzSchedulerThread.Run
